YearMonth;PSV â‚¬/Smc
202508;0.377180
202507;0.388520
202506;0.399710
202505;0.403990
202504;0.398350
202503;0.450460
202502;0.560590
202501;0.528080
202412;0.504170
202411;0.477990
202410;0.432690
202409;0.411190
202408;0.429520
202407;0.375040
202406;0.382350
202405;0.349680
202404;0.323170
202403;0.304590
202402;0.294950
202401;0.330600
202312;0.384870
202311;0.450730
202310;0.467879
202309;0.392680
202308;0.352390
202307;0.336170
202306;0.354598
202305;0.363400
202304;0.475300
202303;0.498408
202302;0.608549
202301;0.731604
202212;1.247659
202211;0.975849
202210;0.835182
202209;1.941062
202208;2.471465
202207;1.829600
202206;1.098000
202205;0.950600
202204;1.060200
202203;1.340000
202202;0.862000
202201;0.910400
202012;0.174
202011;0.148
202010;0.141
202009;0.122
202008;0.087
202007;0.074
202006;0.063
202005;0.069
202004;0.092
202003;0.108
202002;0.115
202001;0.142